GeneNames	knockout	wt	log2fc	log2(Fold_change) normalized	z-score	p-value	q-value	q-value(Storey et al. 2003)	Signature(p-value < 0.001)
XOO3183	125	107	0.224317298	0.238552493	1.257412263	0.208604391	0.311585321	0.109513569	FALSE
XOO3431	103	123	-0.256013978	-0.241778784	-1.257256428	0.208660796	0.311553494	0.109513569	FALSE
XOO1286	545	593	-0.121775875	-0.10754068	-1.25685152	0.208807406	0.311656326	0.109549715	FALSE
XOO3558	5898	5820	0.019206669	0.033441864	1.255667052	0.20923671	0.31218086	0.10973325	FALSE
XOO4132	229	205	0.159723689	0.173958883	1.255077379	0.209450671	0.312383832	0.10973325	FALSE
XOO3306	15	9	0.736965594	0.751200789	1.25502768	0.209468712	0.312236499	0.10973325	FALSE
XOO3844	15	9	0.736965594	0.751200789	1.25502768	0.209468712	0.312236499	0.10973325	FALSE
XOO1240	47	36	0.38466385	0.398899045	1.253945743	0.209861727	0.312647962	0.109898283	FALSE
XOO0849	125	147	-0.23388806	-0.219652866	-1.253473713	0.21003336	0.312787422	0.109947304	FALSE
XOO2347	112	95	0.237499314	0.251734508	1.25313445	0.21015678	0.312855007	0.109971061	FALSE
XOO0349	32	23	0.476438044	0.490673239	1.25264098	0.210336394	0.313006163	0.110000927	FALSE
XOO4373	722	682	0.082227098	0.096462292	1.252548755	0.210369975	0.312939973	0.110000927	FALSE
XOO2685	20	13	0.621488377	0.635723571	1.251197184	0.210862545	0.313498218	0.110125277	FALSE
XOO3042	20	13	0.621488377	0.635723571	1.251197184	0.210862545	0.313498218	0.110125277	FALSE
XOO0314	1273	1350	-0.084726988	-0.070491793	-1.251190957	0.210864817	0.313327298	0.110125277	FALSE
XOO1235	56	44	0.347923303	0.362158498	1.25061906	0.211073493	0.313463099	0.110125277	FALSE
XOO3701	56	44	0.347923303	0.362158498	1.25061906	0.211073493	0.313463099	0.110125277	FALSE
XOO4214	76	62	0.293731203	0.307966398	1.250610355	0.211076671	0.313293733	0.110125277	FALSE
XOO4034	51	65	-0.349942471	-0.335707276	-1.24852809	0.211837728	0.314306977	0.11048144	FALSE
XOO3439	113	96	0.235216462	0.249451656	1.247795405	0.212105992	0.314588576	0.110580424	FALSE
XOO0789	260	292	-0.167456746	-0.153221551	-1.246634422	0.212531574	0.31510321	0.1107033	FALSE
XOO2880	66	53	0.316473665	0.330708859	1.246572546	0.212554274	0.315020363	0.1107033	FALSE
XOO3332	378	348	0.119298928	0.133534123	1.246509634	0.212577354	0.314938143	0.1107033	FALSE
XOO1291	138	161	-0.222392421	-0.208157227	-1.245632962	0.212899175	0.315298409	0.110829936	FALSE
XOO4448	416	457	-0.135610637	-0.121375442	-1.242291119	0.214129171	0.317002897	0.111429078	FALSE
XOO3689	328	364	-0.150242636	-0.136007441	-1.239198934	0.215271835	0.318576887	0.111982348	FALSE
XOO0682	89	74	0.266280065	0.28051526	1.238597122	0.215494734	0.318789074	0.112056933	FALSE
XOO1446	128	150	-0.22881869	-0.214583496	-1.23806467	0.215692083	0.31896332	0.112118182	FALSE
XOO4462	52	66	-0.343954401	-0.329719207	-1.236937648	0.216110232	0.319463834	0.112294117	FALSE
XOO2724	152	176	-0.211504105	-0.197268911	-1.236576443	0.21624437	0.319544298	0.112322401	FALSE
XOO4592	45	58	-0.366127899	-0.351892704	-1.232783084	0.217656704	0.321512795	0.113014343	FALSE
XOO3299	206	234	-0.183864192	-0.169628998	-1.231962817	0.217962974	0.321846616	0.113131684	FALSE
XOO2768	69	85	-0.300866479	-0.286631285	-1.229443157	0.218905698	0.32311964	0.113579162	FALSE
XOO3432	21	30	-0.514573173	-0.500337978	-1.228607807	0.219218887	0.323462833	0.113699798	FALSE
XOO2113	117	100	0.22650853	0.240743724	1.227216711	0.21974115	0.324114154	0.113928742	FALSE
XOO4067	79	65	0.281412935	0.29564813	1.226670164	0.219946586	0.324297854	0.113978132	FALSE
XOO0547	164	144	0.187627003	0.201862198	1.226532972	0.219998175	0.324254664	0.113978132	FALSE
XOO3507	88	106	-0.268488836	-0.254253641	-1.224710431	0.220684343	0.325146464	0.114291607	FALSE
XOO1655	289	263	0.136006693	0.150241888	1.222741491	0.22142735	0.326121325	0.114634279	FALSE
XOO0065	143	166	-0.215168095	-0.2009329	-1.22246027	0.22153362	0.326158017	0.114644764	FALSE
XOO1529	118	101	0.224431567	0.238666761	1.222257378	0.221610312	0.326151153	0.114644764	FALSE
XOO0471	79	96	-0.281181753	-0.266946558	-1.221004931	0.222084153	0.326728575	0.114847732	FALSE
XOO2231	70	86	-0.296981738	-0.282746543	-1.22071519	0.222193874	0.326770082	0.114862322	FALSE
XOO0852	39	51	-0.387023123	-0.372787928	-1.220215144	0.222383327	0.326928771	0.114890705	FALSE
XOO1721	777	737	0.076249979	0.090485174	1.220139918	0.222411838	0.326850829	0.114890705	FALSE
XOO4362	69	56	0.301169535	0.315404729	1.218833675	0.222907327	0.32745895	0.115104465	FALSE
XOO4098	132	154	-0.222392421	-0.208157227	-1.218251942	0.223128247	0.327663422	0.115176338	FALSE
XOO2395	59	47	0.328054198	0.342289392	1.217439203	0.223437155	0.327996908	0.115293561	FALSE
XOO2815	134	116	0.208108195	0.22234339	1.216846409	0.223662659	0.32820776	0.115367677	FALSE
XOO0403	21	14	0.584962501	0.599197695	1.216105176	0.223944859	0.328501624	0.115470973	FALSE
XOO3691	168	148	0.182864057	0.197099252	1.213111218	0.225087302	0.330056691	0.116017592	FALSE
XOO0984	71	87	-0.293196376	-0.278961182	-1.212149422	0.225455188	0.330475265	0.116164724	FALSE
XOO0860	34	25	0.443606651	0.457841846	1.211672165	0.225637898	0.330622198	0.116204026	FALSE
XOO0972	1564	1512	0.048782373	0.063017568	1.211483078	0.225710316	0.330607474	0.116204026	FALSE
XOO2061	158	182	-0.204013892	-0.189778697	-1.21130417	0.225778851	0.330587076	0.116204026	FALSE
XOO2728	134	156	-0.219313028	-0.205077834	-1.208643306	0.226799911	0.331960878	0.116686929	FALSE
XOO3775	9	15	-0.736965594	-0.7227304	-1.207462333	0.227254143	0.332504328	0.116877956	FALSE
XOO0495	16	10	0.678071905	0.6923071	1.206820481	0.227501287	0.332683807	0.11691972	FALSE
XOO4363	16	10	0.678071905	0.6923071	1.206820481	0.227501287	0.332683807	0.11691972	FALSE
XOO3877	476	444	0.100401897	0.114637092	1.204798127	0.228281243	0.333641817	0.117277792	FALSE
XOO2378	154	135	0.189970944	0.204206138	1.201861632	0.229417142	0.335179782	0.117753673	FALSE
XOO2906	6	11	-0.874469118	-0.860233923	-1.201755612	0.229458228	0.335056651	0.117753673	FALSE
XOO3522	6	11	-0.874469118	-0.860233923	-1.201755612	0.229458228	0.335056651	0.117753673	FALSE
XOO2176	231	208	0.151309323	0.165544518	1.201324529	0.229625339	0.335117577	0.117796534	FALSE
XOO4753	232	209	0.150621863	0.164857058	1.199065443	0.2305025	0.336275299	0.118203483	FALSE
XOO2552	387	358	0.112373979	0.126609173	1.197291456	0.231192974	0.337159924	0.118514435	FALSE
XOO3905	1465	1415	0.050098612	0.064333806	1.196713686	0.231418171	0.337365617	0.118586738	FALSE
XOO1352	48	61	-0.345774837	-0.331539642	-1.19534893	0.23195073	0.338019075	0.118816434	FALSE
XOO3826	935	893	0.06630619	0.080541384	1.193451266	0.232692687	0.338977102	0.119110305	FALSE
XOO2259	28	38	-0.440572591	-0.426337397	-1.19344928	0.232693465	0.338855104	0.119110305	FALSE
XOO1324	72	59	0.287281952	0.301517147	1.193095735	0.232831882	0.338933556	0.119137881	FALSE
XOO0469	426	466	-0.129476524	-0.11524133	-1.192333934	0.233130334	0.339244831	0.119247297	FALSE
XOO0668	41	53	-0.37036845	-0.356133255	-1.191772776	0.233350353	0.339441787	0.119312412	FALSE
XOO4242	43	33	0.381870635	0.39610583	1.191577455	0.23342697	0.339430077	0.119312412	FALSE
XOO3216	175	155	0.175086707	0.189321901	1.19087622	0.233702181	0.33970705	0.119409771	FALSE
XOO2709	125	108	0.210896782	0.225131977	1.189435635	0.234268285	0.340406508	0.119655636	FALSE
XOO0804	300	333	-0.150559677	-0.136324482	-1.187949432	0.234853333	0.341132976	0.119910995	FALSE
XOO1070	73	60	0.282933963	0.297169158	1.184921215	0.236048599	0.342744959	0.12047762	FALSE
XOO2363	429	399	0.104588901	0.118824096	1.184679447	0.236144212	0.342759647	0.120477804	FALSE
XOO1954	286	261	0.13196534	0.146200535	1.184487991	0.236219947	0.342745482	0.120477804	FALSE
XOO0586	430	400	0.10433666	0.118571854	1.183593508	0.236574011	0.343135026	0.120614732	FALSE
XOO1541	8	4	1	1.014235195	1.182332502	0.237073794	0.343487113	0.120651286	FALSE
XOO2998	8	4	1	1.014235195	1.182332502	0.237073794	0.343487113	0.120651286	FALSE
XOO3875	8	4	1	1.014235195	1.182332502	0.237073794	0.343487113	0.120651286	FALSE
